                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.9711,                 3.1083,                 1.8598,                0.27447,                0.13333,                0.14886,                0.05135,                 1.6355,                 2.5893,                 1.6032,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.7944,                 2.6829,                 1.6843,                0.29783,                0.31111,                0.17382,                0.05894,                 1.6362,                 2.5684,                 1.6311,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.9187,                 2.8403,                 1.8306,                0.23577,                0.31111,                0.19128,                0.06169,                 1.6854,                 2.5234,                 1.6186,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.8627,                 2.7376,                 1.7615,                0.22212,                0.22222,                0.16945,                0.05243,                 1.6552,                 2.5589,                  1.618,               0.000284,               0.000284,               0.000284
                    133,                 1.9407,                 2.9135,                 1.8257,                0.21127,                0.22222,                0.13934,                0.04762,                 1.6485,                 2.4753,                 1.6312,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.8465,                 2.7024,                 1.7118,                0.28726,                0.31111,                0.18062,                0.05869,                 1.5754,                 2.5284,                  1.581,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.8865,                 2.8616,                 1.7477,                0.26748,                0.37778,                0.21576,                 0.0708,                 1.6612,                 2.4881,                 1.6015,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.9245,                 2.7952,                 1.8416,                 0.2979,                0.37778,                0.21654,                 0.0695,                 1.6308,                 2.3711,                 1.5893,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.8503,                 2.7749,                 1.7129,                0.33513,                0.26667,                0.23215,                0.07606,                 1.6401,                 2.4592,                 1.5663,               0.000218,               0.000218,               0.000218
                    138,                 1.8707,                 2.7065,                 1.7313,                0.30004,                0.30491,                0.22419,                0.07788,                 1.6147,                 2.4438,                 1.5625,              0.0002048,              0.0002048,              0.0002048
                    139,                 2.1091,                 2.8536,                 1.9615,                0.20238,                0.31111,                0.15876,                0.05899,                 1.6304,                 2.7065,                 1.5675,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.9696,                  2.704,                 1.8629,                0.28371,                0.44444,                0.25595,                0.08182,                 1.6097,                 2.3908,                 1.5636,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.6399,                 2.6969,                 1.5671,                0.30391,                0.31111,                0.19043,                0.07553,                 1.5456,                 2.3585,                 1.5475,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.4198,                 2.2321,                 1.3765,                 0.2669,                0.24444,                0.19614,                0.07499,                 1.7162,                 2.5514,                 1.6407,               0.000152,               0.000152,               0.000152
                    143,                  1.521,                 2.2065,                 1.4441,                0.35109,                0.37778,                0.29962,                0.08299,                 1.5157,                 2.4444,                 1.5725,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.3316,                 2.0218,                 1.3516,                0.30278,                0.31111,                0.21687,                0.07482,                 1.5392,                 2.4238,                 1.5764,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.3087,                 2.0583,                 1.3357,                0.28006,                0.22222,                0.20907,                0.06669,                 1.5816,                 2.4419,                  1.591,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.3989,                 2.1304,                  1.418,                0.28302,                0.28889,                0.19952,                0.07781,                 1.5748,                 2.4097,                  1.589,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                 1.5693,                 2.2952,                  1.572,                0.30522,                0.31111,                0.23062,                0.07774,                 1.6062,                 2.3695,                 1.6131,                8.6e-05,                8.6e-05,                8.6e-05
